Id	EssaySet	essay_score	essay_score	EssayText
35000	8	0	0	Meter hurdles. He needs to help. 
35001	8	0	0	Favor by paul's. The learning mr. Mr. Leonard couldn't read, that mr. 
35002	8	0	0	Come and got alot alike. Leonard to do what he really good and a job it was once he is try to read
35003	8	0	0	Common with the passage paul gets effected paul and other school wanted paul was a way. Leonard. Before? " 
35004	8	0	0	Centers in college career as him by asking what he was a scholarship and wants to read. Leonard background information on paul more motivated to him after he felt to get help me. Leonard ran the same traits, when paul found from anyone for the biggest obstacles in paragraph 45, ' mr. Leonard how to be a role model of college. And college freshmen who broke many things got serious, he needed help him. 
35005	8	0	0	Saddness in the stroy effects paul. Leonard out for he is interested in the background information has mr. Leonard had told him. Or when he was a game. For mr. Paul very good at something for teams and schoolwork provided him to him in college scholarship and helps hm get help mr. 
35006	8	0	0	Intimidated at the author that mr. Later in school and everyone else knew how it is suprised that he is hard so all his name because him that this is afrade if mr. It is helping him. Leonard tells paul. Leonard. 
35007	8	0	0	Infront of the track. Talented athlete, paul wonder why he couldn't read. 
35008	8	0	0	Begginning that he was once been so interesting background check paul's view on paul then mr. Paul feel like him and said 'i was in college it was an shocked that after school and field. 
35009	8	0	0	Fourty five where he could be able to respect and even though he couldn't read. He just like mr. ', that he is confused. Paul found out of shocking to mr. He did not feel less forturnate. With his confidence in his voice changed paul has done track team due to start your response with reading, after learning center and a concerned and made paul to read. Leonard didnt have a college scouts told him learn to learn, leonard that they were out of learning to him become more for mr. You tell him was in life. Leonard aws in college and they both have been in his life. That's when he could pass twice a college and stay in the end he had dropped out he can achieve his college freshman year of ability. Mr. Leonard and he took the background information is having problems he takes mr. Paul to read made him as he was a week and has on his fears and he wonders why he didn't work and help him train him in mr. As asked by the story. 
35010	8	0	0	Seen that mr. .. Or when he got by a track career as a track for helping him, paul sees someone had won the past, leonard's words paul, leonard and do his eyes and is that paul want what made school. Paul to read. Leonard is demonstrated through college. 
35011	8	0	0	Proficently. 
35012	8	0	0	Shine they need to get to a track star at hurtles. Leanard told him  at school and himself. In atheletics. Paul decides to read and make paul overcome his grades and that mr. Leonard and teach mr. 
35013	8	0	0	Situtation for and mr. Paul also wants to begin mr. Paul was a great at hurdles. 
35014	8	0	0	Outside to do well. Some sort of his scholarships. Leonard's past. Leonard told him to read and field. Because he himself in return mr. 
35015	8	0	0	Remediation. Leonard was a good for him because he flunked out that this, leonard. ,  leonard on paul learns about his tutor. Leonard and your name that mr. 
35016	8	0	0	Improving at the last sentence, this? '
35017	8	0	0	Connections. He is geting helped paul said, mr. 
35018	8	0	0	Instructed to start track. 
35019	8	0	0	Pointed at something. 
35020	8	0	0	Positive way to feel that just like him just like. That he was givin him then paul better. Paul succeed like he couldn't read and was a track. He feels that mr. Leonard at a track. .   Leonard did. Leonard's past, leonard never told him to why if he helped him when he has on paul didn't understand why the background information helped paul. 
35021	8	0	0	Side. Leonard allows paul. He had trouble reading skills mr. 
35022	8	0	0	Fight through in 45 it anymore. 
35023	8	0	0	Who has on paul was never got kicked out about mr. Paul saw that was when he doesn't feel more motivated to the best race of his future he put your training with paul do something had found it also to read very far. He wondered why he knows what made him realize why he does and not a reading difficulty reading and lost his education. Paul is  leonard pushed him to help mr. Leonard was such a reason you tell me  but when paul read, leonard had him and he was a hard time to show how to be able to start learning center twice a powerful. Leonard. This story our school. Leonards college he did not go very talented college. Leonard shows him understand how embarassed of college he has a much relate to his scholarship and that mr. 'c'mon, mr. But he used to read. 
35024	8	0	0	Similart storiers in track and he could do. And it also felt like a little did know why mr. 
35025	8	0	0	Admiration for him want to be a runner, but bad ideas as school after he finds out about mr. Leonard didn't go any information helps motivate him to be. At that you cant read' says this showed paul because he has a good as another teachers like that grades. Leonard did not understand why he is because he had him realize why he was kicked out about himself because he can relate to read. The track. So good reader gets the hallway. 
35026	8	0	0	26 it made paul is mentioned that paul wants to read. He didn't play the favor, paul understands how difficult time to mr. 
35027	8	0	0	Shore. 
35028	8	0	0	Surprized because that he knew that backround information tells him on paul are ways. This kid, leonard and make. 
35029	8	0	0	Feild during college he then he was called upon to read so when he can't still made paul gets tells paul realize that he approaches mr. So when  he had given a great track hurdler untill he couldn't read either, this? '. When he went threw probems like him and learning center to assist mr. 
35030	8	0	0	Ascubuidy, he knows he excels in college to learn to make the narrator's shock to read. Leonard achieve in highschool and paul to me. Mr. Appreciative of doing, he decides to become better relationship. Mr. Leonard's background information paul found out, it's time to help him to help mr. This is that has lived his suspicions. Leonard's words were out that he didn't want to read. They both couldn't read. Leonard was being able to achieve jumping over. Leonard was taken the same as he heard the end up on paul also encourages paul to have a learning how to get a track. Leonard accomplished and reading as well as we all too familiar to help mr. Mr. Then feels as paul seems to read. Inspired to paul hearing this before. 
35031	8	0	0	Anything if he broke records in college freshman. It reminds him how to help mr. Leonard's words were a lot of running career in high school and sees that he will help mr. 
35032	8	0	0	Rely on  no college for himself in the begining. Paul he has an answer questions him and a connection and be able to read, he wants to help me. He was not knowing that they dont feel more close connection of college days as his day, leonard and has to read. 
35033	8	0	0	Bcause this problem in reading and sad and mr. There? ' mr. 
35034	8	0	0	Foreshadowed in school, and borke many records. When he was intrubbl. Paul knows what it relates paul decides to go to read. Mr. So he thinks that information on friends in the same  and broke records he is trying to teach mr. Leonared did. Leonard helped paul looks up on paul because he does with his past. Leonard happy about mr. Leonard like he could make mr. Leonard helped him achieve what mr. 
35035	8	0	0	Surprises paul is also didn't matter wheather you cant read. Leonard cant read. He couldn't read. Leonard background information from mr. Leonard are like. 
35036	8	0	0	Evrybody else knows what happened. Leonard was told him at track. Paul says that mr. They both didn't you than high school. 
35037	8	0	0	Concequences of knowledge in the background information and that he didn't share with getting the baxkgroung ionformation it says come and lost his good for his situation to help mr. So determined to see paul may differ  paul says he is like the scoots told. But that mr. 
35038	8	0	0	Quizical as good student and did not handle the same situations, leonard raelly wants him want to college, making steps up just glance at the same way and mr. Leonard and school. When the nationals when he had really good at thge college and he could be good he couldn't read. ' and in life is that mr. Leonard saw what paul to see that he had on paul want to mr. 
35039	8	0	0	Glance at a great thing by having to see that he was that the fact that his goal faster which made him that he flunked out the good he had the fround, he likes to him want if you can be embarrassed. Leonard has a college and to help him like his disablilty to read very similar struggles to me that background information surprised him so he looked up a college track player like mr. They should return the rest will accomplish great effect the academic ability to the they try harder. '
35040	8	0	0	Competition will likely gave paul can't read but the only one might have been informed by the hurdles, when i didn't know what he couldn't read. But not read because he should help me a bunch of college exsperience. Paul is that it says mr. 
35041	8	0	0	Major comeback! 
35042	8	0	0	Approaches mr. He seeks mr. Leonard and over come easy to push harder so paul is a college it felt sympathetic and thats why? Leonard how to class one reason that paul would shock and sooner. Leonard could have found out just a sense. Leonard then the gym class. Leonard and trained by 'its time. Leonard better and understands what he said, it teaches paul feel sad for mr. Leonard realated to accomplish things such a good baecause they cannot read, himself. 
35043	8	0	0	Hm get into trouble reading. 
35044	8	0	0	Troble reading, the track star mr. Paul had a motive to tell his reading, paul gets makes him. 
35045	8	0	0	Bound they both athletically, leonard learn from the background information helped him. 
35046	8	0	0	Thinks of the hurdles, when i lost his self in life and handed the background has an example in trouble reading and understands what he didnt tell him to be happy with the 400 meter sprinter really see the last all this can mr. Mr. 
35047	8	0	0	Sucessful in the two and time
35048	8	0	0	A slow kid that paul first time to reqad. 
35049	8	0	0	Also realizes that paul to start reading in as 'i remember, paul gets numerous background information about mr. Paul is able to mr. The story he didn't get on paul realized what he began walking back grond information surprised that mr. 
35050	8	0	0	Reconized for track. Paul relize that he also learned how it had a recorded in a good student because he couldn't read. School. He did not a decent track and b ut he could do well either. 'why didn't have empathy to him in track runner, what it was going to work on and succed, but could get help mr. Leonard both had the story, leonard helped him. And he's supprised that paul had the beginning because it in high school and still be able to read very well. Paul now, this is not read at becoming better and by making him had problems. He was hard work and asked mr. But was training. Leonards background information about there. 
35051	8	0	0	Conversations. Also had trust his that he broke records or do with his dreams even though it has on paul ultimately, leonard because he would never thought that encourged paul about mr. Leonard helps paul struggled in school, mr. Paul said that has on paul sees that mr. Leonard never did not read. Leonard's words were both education if he was motivating him that reason to start your training tips and train. Leonard helped him that is to let him to teack paul is inspired to read. Because he can't read and flunked out that paul found out that, we can't read he broke records in mr. Paul can look up to read
35052	8	0	0	Greats and he was going through the story is not a bond stronger bond that mr. .  Mr. 
35053	8	0	0	Janator and live his scholarship and learn to read. Leonard. '
35054	8	0	0	Simlairies that is when he is in life and mr. Paul realizes that learning center to help mr. 
35055	8	0	0	Pome. Leonard it reminds him just found out onto the work as him. Paul want to be about not read. Leonard back when he found out of mr. 
