Id	EssaySet	essay_score1	essay_score2	EssayText
4933	3	2	2	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.
4937	3	2	2	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.
4941	3	2	2	A panda beer is similar koala to a koala bear because they both only eat one food for the most part. Pandas eat bamboo, while koalas eat eucalyptus leaves. But a python is a more diverse and invasive animal. I eats a broader range of things from smaller reptile to amphibians.
4961	3	2	2	"""Well in China a specialist is a panda who eats almost nothing but bamboo and the Australian koala bear eats eucalyptus leaves all the time. They're both different form pythons because pythons can eat anything and can almost survive anywhere. """"A python swallowed an alligator..."""" They'll eat anything but the panda and the koala stick with what they know which is the bamboo and the eucalyptus leaves."""
4984	3	2	2	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""
4991	3	2	2	Pandas in China and koalas in Australia are similar because they can only survive in very special climates with specific food sources. These are different from pythons because pythons can adapt better and eat many different things. This is shown in the map provided with the article because it shows pythons could survive in 17 states.
4998	3	2	2	Pandas in China, and koalas in Australia are similar because they both are specialists. So they have to stay in specific habitats to survive. Pythons are generalists, they can move anywhere and adapt to their surroundings to survive. In the article it says that the pandas mostly eat bamboo and koalas mostly eat eucalyptus leaves.
5002	3	2	2	The pandas in China and koalas in Australia are similar because both species live in only one area around the world. Also both just eat one type off food like bamboo and eucalyptus leaves. But both pandas and koalas are different than the python because a python can eat many foods and live in different areas around the world.
5032	3	2	2	Pandas in China are similar to koalas in Australia because they both require special native food. Pandas eat bamboo which is predominatly found in China. The koala which lives in Australia, only eats eucalyptus leaves. They are similar because they are both specialist animals. They are both different from pythons because whereas the python can survive in the south of of the U.S, the panda and koala need to continue to live where they live now.
5035	3	2	2	Pandas in China and koalas in Australia are similar for they are both specialists species, meaning that they are stable creatures who live the same lifestyle. For example they eat only bamboo and eucalyptus leaves respectively. They both are different from the python because the python is a generalist species. That means that it is able to adapt to changes. It can eat a variety of things, it can change.
5045	3	2	2	Pandas in China are similar to koalas in Australia because they are specialists, meaning they require one certain food and environment to survive. Pythons are generalists, who aren't very specific in what they eat. This means that they can adapt very easily to new environments, whereas, specialists cannot.
5050	3	2	2	Pandas in China and koalas in Australia are similar in that their food sources (bamboo and eucalyptus leaves respectively) exists only in certain areas of the world and so those animals exist only where those food sources are. They are specialists, and are favored by stability. They are different from a python in the the python can eat a variety of food sources around the world so it can exist in many different places.
5051	3	2	2	"""Pandas in China can basically only live in China because they only really eat bamboo and can only survive in China. Koalas only eat eucalyptus leaves and can only survive in Australia where there are eucalyptus trees. Pythons can eat practically anything and live in a variety of different areas, """" A USGS map showed a potential python habitat nothing from calltah to deleware """" This shows that pythons can live almost anywhere."""
5064	3	2	2	"""Pandas and koalas are similar because they only eat certain foods. """"A specialist is China's panda, which...eucalyptus leaves almost exclusively. (A chen bach 5). Pandas and koalas cant survive without those section finds but a python can eat basically anything. A python can survive anywhere as long as there is food however pandas and koalas need bamboo and eucalyptus leaves to survive making their native ares in certain places unlike pythons who can be seen anywhere."""
5069	3	2	2	"""Pandas are both similar because on the article it talks about them being """"specialist"""" and how they solely survive on one food sources. Panda has bamboo while koalas has eucalyptus. They are both different from pythons because a python is a generalist and can live in different warm environments and as the article said rat, mice, aligator and anything in between."""
5079	3	2	2	Pandas in China as well as koalas in Australia, are specialists who have an incredibly slim range of food. They therefore have trouble adapting. Pythons on the other hand, are generalists and can easily adapt to foreign places, as they have in Florida and other places in the U.S.
5102	3	2	2	"""Pandas in China and koalas in Australia are both specialists, because """" what favors specialists is stability """" ( paragraph23). The eat one thing exclusively. Pythons, however are generalists. They can eat a variety of things, and there for can live in many places. Generalists like pythons adapt better than specialists like pandas and koalas."""
5104	3	2	2	Pandas in China are similar to koalas in Australia because they are both specialists. They both only eat one type of food each. Pandas only eat bamboo and koalas only eat eucalyptus leaves. These animals are both different from pythons because pythons are generalists, which can adapt to eating the native species, unlike the panda or koala
5109	3	2	2	Pandas in China are similar to koalas in Australia because they both eat almost nothing but 1 thing,m for pandas:bamboo, koalas;eucalyptus leaves: so if they moved to a different environment they couldnt adapt/survive. They differ from pythons, because pythons could adapt and eat anything.
5110	3	2	2	Pandas in China are similar to koalas in Australia. Both of these animals however are different from pythons. Pandas that live in China eat almost nothing but bamboo. Koalas in Australia eat almost exclusively eucalyptus leaves. Pythons eat a variety of food, and can live in the U.S from Cali to Delaware in the southern half. Pandas and koalas are specialists because they eat and adapt very well to other environments. Pythons are specialists because they can adapt.
5113	3	2	2	Pandas in China are more likely to survive in China because their main food source, bamboo is found in China. This is similar to the Australian koala bear who, according to the article, eats eucalyptus leaves almost exclusively. The python is different from both of these animals because the python can inhabit a climate similar to those found in Asia and be able to survive and repopulate.
5114	3	2	2	Pandas in China and koalas in Australia are similar because of their classification as a specialist species. The article sides that these animals are specialists because they eat almost exclusively are species. What a python is however, is a generalist. The article claims that generalists not only eat in wide range of food but they also can live in various areas and adapt very quickly to change. Pandas in China are similar to koalas in Australia because they are specialists, and that's why they are different from pythons.
5117	3	2	2	Pandas and koalas only have one type of food they can eat. While the python will eat almost anything, which means it can survive almost any where unlike the panda that need bamboo to eat or koalas which need eucalyptus leaves. These foods don't grow every where.
5131	3	2	2	"""Pandas in China and koalas in Australia are similar in that they're both specialist species. Both are specific on food source and climate and would have trouble adapting anywhere    else but there native habitat, unlike generalists. """"A generalist is a raccoon, a python, cockroach, white tailed dear....they can live anywhere from Florida to Antarctica.."""" (paragraph 21)."""
5133	3	2	2	"""Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat """"almost nothing but bamboo"""" and the koala """"eats eucalyptus leaves almost exclusively."""" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)"""
5151	3	2	2	Pandas in China and koalas in Australia are both specialist. They both very little and they don't eat meat. In the article it says that pandas only eat bamboo and koalas eat eucalyptus leaves. A python is different from this because they are generalist. Pythons will eat anything if they need to and in the article it says that they can live almost anywhere.
5152	3	2	2	"""Pandas from China and koalas from Australia are very similar because they are both specialists, and they limit their food in take to one source. As stated in the article the Chinese panda """"eats almost nothing but bamboo"""" and the Australian koala bear """"eats eucalyptus leaves almost exclusively. Because of this they are limited to specific regions, which is different from the python which eats everything from rat to alligators."""
5159	3	2	2	Pandas in china are similar to koalas in Australia because they both are specialist which means that they favor stability. You can see that both those animals are not use to change because they both stick to the same food source, pandas eat almost nothing but bamboo and koalas eat eucalyptus leaves almost excusively. Panda's an koalas are different from pythons. Pythons are generalist. Generalist favor change unlike pandas are koalas pythons can adapt to various climates.
5163	3	2	2	The panda in China and the koala from Australia are both considered specialists. This is because in order to survive they need a stable environment. The panda eats only bamboo and the koala eats eucalyptus leaves. This differs from the python which is a generalist. The python doesn't need only one thing to live off of because it is able to adapt.
